Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Nik Stauskas	22	24.8	2.9	7.5	1.5	4.5	1.4	3	0.483	1.2	1.6	2.5	1.9	0.6	0.3	1.3	2869440
Brian Roberts	30	9.2	1.5	3.2	0.3	0.8	1.2	2.4	0.494	0.8	0.9	0.8	1.1	0.2	0	0.5	2854940
Kirk Hinrich	35	13.7	1.1	2.8	0.5	1.3	0.5	1.5	0.473	0.3	0.3	1.5	1.6	0.3	0	0.7	2854940
Dante Cunningham	28	24.6	2.3	5.2	0.7	2.2	1.6	3	0.518	0.7	1	3	1	0.5	0.4	0.5	2850000
Stanley Johnson	19	23.1	3.1	8.2	0.9	2.8	2.2	5.4	0.428	1.1	1.4	4.2	1.6	0.8	0.2	1.6	2841960
Furkan Aldemir	0		0		0		0		0		0		0		0		2836768
Omri Casspi	27	27.2	4.3	9	1.6	4	2.7	5	0.571	1.5	2.3	5.9	1.4	0.8	0.2	1.4	2836186
Manu Ginobili	38	19.6	3.4	7.5	1.2	3.1	2.2	4.4	0.533	1.6	1.9	2.5	3.1	1.1	0.2	1.7	2814000
Darrell Arthur	27	21.7	3.2	7	0.6	1.7	2.5	5.3	0.498	0.6	0.8	4.2	1.4	0.8	0.7	0.9	2814000
Kevin Seraphin	26	11	1.8	4.3	0	0	1.8	4.2	0.41	0.4	0.5	2.6	1	0.2	0.8	0.9	2814000
Sonny Weems	29	11.6	1	2.6	0.3	1	0.6	1.6	0.45	0.2	0.3	1.2	1.1	0.2	0	1	2814000
Luke Ridnour	0		0		0		0		0		0		0		0		2750000
Trey Burke	23	21.3	4.1	9.9	1.4	4	2.7	5.9	0.483	1	1.3	1.8	2.3	0.5	0.1	1.3	2658240
Noah Vonleh	20	15.1	1.5	3.6	0.1	0.6	1.4	3	0.441	0.5	0.7	3.9	0.4	0.3	0.3	0.6	2637720
Tyler Zeller	26	11.8	2.3	4.8	0	0	2.3	4.8	0.476	1.5	1.8	3	0.5	0.2	0.4	0.8	2616975
Frank Kaminsky III	0		0		0		0		0		0		0		0		2612520
Jared Sullinger	23	23.6	4.3	10	0.4	1.3	4	8.7	0.453	1.3	2	8.3	2.3	0.9	0.6	1.3	2569260
C.J. McCollum	24	34.8	8	17.9	2.5	5.9	5.6	12	0.517	2.3	2.8	3.2	4.3	1.2	0.3	2.5	2525160
Elfrid Payton	21	29.4	4.4	10	0.4	1.3	3.9	8.7	0.456	1.5	2.6	3.6	6.4	1.2	0.3	2.4	2505720
Leandro Barbosa	33	15.9	2.5	5.4	0.6	1.6	1.9	3.8	0.515	0.8	0.9	1.7	1.2	0.6	0.1	0.8	2500000
James Johnson	28	16.2	2	4.2	0.4	1.2	1.6	3.1	0.517	0.7	1.2	2.2	1.2	0.5	0.6	0.9	2500000
Joel Anthony	33	5.1	0.3	0.5	0	0	0.3	0.5	0.6	0.3	0.4	1.1	0.1	0.1	0.6	0.1	2500000
Terrence Jones	24	20.9	3.3	7.3	0.5	1.6	2.8	5.8	0.486	1.5	2.3	4.2	0.8	0.5	0.8	1	2489530
Justise Winslow	19	28.6	2.5	5.9	0.4	1.5	2.1	4.4	0.457	1	1.5	5.2	1.5	0.9	0.3	1.2	2481720
Shelvin Mack	25	20.3	3.5	8	0.8	2.4	2.8	5.6	0.486	0.9	1.2	2.5	3.6	0.7	0.1	1.8	2433333
Michael Carter-Williams	24	30.5	4.6	10.3	0.3	1	4.4	9.3	0.466	2	3	5.1	5.2	1.5	0.8	2.8	2399040
